,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
13654,23655,0.001726,0.001392,69.29,70.293118,3.650137799,696.3422506,43.1,3.79,-2.33,D++
13655,23656,0.035381,0.031708,57.4,58.467089,7.52,140.64,46.9,0.073,-10.14,D++
13656,23657,0.184203,0.167031,25.9,27.251234,1.3,153.5,55.19,0.15,-3.06,D++
13657,23658,0.014226,0.012276,56.7,57.726502,3.525839086,779.9151138,55.52,0.23,-4.11,D++
13658,23659,0.345791,0.284192,22.98,24.609983,9.22,28.35,79.02,-1.01,30.08,D+
13659,23660,0.137494,0.123022,20.5,21.760516,8.26,35.33,67.1,0.206,18.32,D+
13660,23661,0.427645,0.386953,42.19,44.004598,0.6,184.26,74.14,0.02,-3.53,D+
13661,23662,0.115461,0.103011,44.18,45.398472,0.01,13880.0,63.54,0.1,-7.77,D++
13662,23663,0.052655,0.048072,51.62,52.720727,3.591374398,957.1981542,50.74,0.04,-3.86,D++
13663,23664,0.009101,0.00775,73.69,74.706851,3.572578371,763.8409343,36.05,0.89,-1.71,C--
13664,23665,0.006575,0.006078,66.53,67.542653,3.634433601,666.7191401,35.34,0.93,-10.61,C--
13665,23666,0.02205,0.019436,24.68,25.721486,3.512268203,663.3141906,43.66,3.07,-20.71,D++
13666,23667,0.079494,0.071278,34.62,35.770772,3.547942638,799.7260393,60.69,0.14,-1.48,D++
13667,23668,4.190433,3.910812,55.53,64.631245,10.81,42.69,46.32,-0.001,45.08,D++
13668,23669,0.253484,0.229789,42.83,44.313273,3.631267606,1549.33487,56.14,0.39,-21.08,D++
13669,23670,0.190281,0.168711,25.87,27.228992,1.537,128.952,35.995,0.374,0.028,C--
13670,23671,0.229549,0.21419,17.36,18.803739,3.576364814,750.9048258,77.11,0.32,-6.25,D+
13671,23672,219.055421,206.223403,35.77,462.048824,0.65,422.59,42.55,0.07,-15.61,D++
13672,23673,0.003182,0.002486,73.2,74.205668,3.584286825,674.0011254,35.72,0.56,-6.82,C--
13673,23674,0.175766,0.157715,18.56,19.893481,11.28,36.81,38.97,0.122,21.62,C--
13674,23675,0.013144,0.01216,58.4,59.425304,3.589882897,683.0866096,44.09,-0.83,-9.85,D++
13675,23676,0.075878,0.058148,37.39,38.524026,2.97,116.09,78.6,0.317,-2.42,D+
13676,23677,0.381468,0.329174,32.86,34.570642,3.517359532,818.3982661,65.39,0.31,-2.04,D+
13677,23678,0.000832,0.000706,44.25,45.251538,3.524383252,827.9448778,60.92,0.41,-0.4,D++
13678,23679,7.664742,6.359194,92.5,107.523936,24.15,98.43,55.64,0.270445199,1.63,D++
13679,23680,0.007418,0.006281,55.28,56.293699,3.569647835,731.7439803,36.45,0.85,-1.61,C--
13680,23681,0.061929,0.057577,50.43,51.549506,2.93,56.29,19.51,0.06,2.98,C-
13681,23682,0.057068,0.049553,61.45,62.556621,1.105,67.505,18.588,0.074,-0.313,C-
13682,23683,0.044379,0.039311,35.61,36.69369,3.504760809,745.5167234,67.65,0.32,-3.11,D+
13683,23684,0.171895,0.155448,12.63,13.957343,3.544017163,775.8006035,78.35,0.46,-3.25,D+
13684,23685,74.142972,68.026039,32.86,176.029011,1.56,27.21,56.1,0.01,7.75,D++
13685,23686,0.131314,0.121114,35.13,36.382428,3.564779462,854.1698692,65.03,0.96,-6.35,D+
13686,23687,40.655154,35.415277,34.26,111.330431,0.43,416.0,63.17,0.12,-6.78,D+
13687,23688,0.714933,0.647913,56.63,58.992846,1.68,166.9,45.65,-0.14,-5.63,D++
13688,23689,0.002029,0.001678,76.02,77.023707,3.571211117,676.2718925,36.21,0.0,-1.52,C--
13689,23690,0.159118,0.1441,21.79,23.093218,0.68,137.65,75.45,0.0,-2.07,D+
13690,23691,0.224891,0.195549,41.85,43.27044,3.556499386,749.8342091,68.34,0.17,-1.32,D+
13691,23692,0.14597,0.127152,26.97,28.243122,0.683,110.302,32.634,0.16,-0.578,C--
13692,23693,0.104142,0.091289,64.39,65.585431,14.32,44.8,64.7,-0.077,73.84,D+
13693,23694,0.00025,0.000189,51.25,52.250439,3.589473511,841.6883507,53.06,3.71,-7.27,D++
13694,23695,0.070867,0.063272,77.19,78.324139,3.594028408,655.6550018,29.73,0.12,-1.56,C--
13695,23696,0.807201,0.767306,13.01,15.584507,3.574399263,786.0111057,73.85,0.153268502,-2.233,D+
