id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
20429,0.29,745.81,60.17,0.63,-7.53,C-
20430,3.543668753,859.4106616,62.02,0.36,-6.36,C-
20431,1.68,72.01,58.87,0.5,2.63,C
20432,0.47,251.64,59.7,0.03,-4.55,C-
20433,3.574984918,813.0658062,58.72,0.17,-5.63,C
20434,1.87,181.73,44.22,0.67,-12.33,C
20435,0.858,7.997,21.734,-0.001,4.707,C+
20436,1.23,72.9,74.39,0.04,3.59,C-
20437,4.11,100.58,46.67,0.55,-0.11,C
20438,3.622319539,873.5019732,36.953,-0.150218619,7.532539348,C+
20439,0,2967.166,55.73,0.1,-5.29,C
20440,8.69,43.68,70.57,0.28,38.48,C-
20441,3.603758806,718.8657866,6.482,0.210617334,9.713740805,C++
20442,1.67,25.06,65.56,-0.02,16.13,C-
20443,0.31,279.78,75.71,0.04,-5.62,C-
20444,3.578419679,700.0634773,66.74,0.7,-8.9,C-
20445,0.67,200.04,52.44,0.03,-3.6,C
20446,3.547430461,843.0233032,66.04,0.23,-6.48,C-
20447,3.552289889,945.5963595,55.47,0.08,-1.92,C
20448,0.666,71.583,10.919,-0.053,2.064,C++
20449,0.53,312.33,41.52,0.12,-4.04,C
20450,3.60305892,884.9485968,49.02,0,-0.43,C
20451,3.519340927,712.5298966,43.98,0.21,-2.23,C
20452,3.717539093,829.4474961,81.15,0.03,-7.5,C--
20453,1.14,223.92,73.25,0.17,-8.62,C-
20454,0.58,225.84,48.73,0,-3.2,C
20455,0,15093.717,63.28,0,-11.23,C-
20456,3.605811229,991.2042799,39.3,0.21,-6.45,C+
20457,1.18,140.62,49.83,0.08,-2.7,C
20458,3.537066435,801.7777602,57.21,0.16,-5.5,C
20459,4.58,16.63,68.08,0.15,21.72,C-
20460,0.7,6.86,87.19,0.03,8.31,C--
20461,3.562329351,1252.797023,49.35,0.06,-1.5,C
20462,3.528309786,756.6588119,56.77,2.95,-22.45,C
20463,3.554292005,908.5821359,53.47,0.08,-0.62,C
20464,1.85,70.36,91.12,0.02,5.17,C--
20465,2.92,606.402876,67.91,-0.31,6.680299377,C-
20466,3.5785004,660.427512,38.02,0.2,-3.5,C+
20467,3.625391128,866.6681966,37.4,-0.138057017,7.490573988,C+
20468,0.33,379.49,53.75,0.05,-7,C
20469,2.91,56.74,64.8,0,5.64,C-
20470,3.50005672,847.5136624,59.24,0.39,-3.6,C
20471,3.331020069,2321.811074,8.11,44.13,-15.43,C++
20472,3.588865876,747.8904671,11.57,6.3,-1.7,C++
20473,0.66,238.34,58.19,0.02,-3.65,C
20474,3.60956478,851.6764691,67.73,0.08,-4.64,C-
20475,2.78,97.04,31.17,-0.04,0.31,C+
20476,3.732689139,900.6732866,82.77,0.04,-5.79,C--
20477,1.22,333.21,35.14,0.295025293,-6.27,C+
20478,3.572769679,668.7494041,36.28,0,-2.08,C+
20479,3.71992196,767.5520197,81.23,0.02,-4.68,C--
20480,0.87,101.16,80.4,0,-0.05,C--
20481,3.86,140.89,66.06,0.32,-7.42,C-
20482,3.563434196,642.3203804,24.46,0.02,-0.86,C+
20483,3.2,43.84,63.46,0.56,10.26,C-
20484,4.15,67.44,42.15,-1.085,9.72,C
20485,3.576881755,657.3747653,32.71,0.62,-1.77,C+
20486,5.16,59.3,64.4,0.26,12.06,C-
20487,0.19,680.51,49.47,0.08,-6.98,C
20488,0.594,137.616,34.851,0.205,-2.257,C+
20489,3.54447345,797.64689,44.94,0.85,-0.68,C
20490,1.21,629.8441619,77.18,0.281761519,9.953058172,C-
20491,0.68,233.38,74.73,-0.11,-7.17,C-
20492,3.59655214,646.9667132,33.05,0.38,-2.72,C+
20493,2.92,21.79,60.99,0,26.25,C-
20494,1.02,102.96,70.67,0.06,-0.18,C-
20495,0,558.472,38.2,0,-7.06,C+
20496,0.66,149.44,78.69,0.08,-2.78,C-
20497,0.6,166.96,70.56,0.07,-3.08,C-
20498,3.563906691,746.0575362,73.18,0.43,-5.94,C-
20499,84.76,84.86,56.78,0.316320884,-98.18,C
20500,0.082,1761.826,30.759,0.001,-2.658,C+
20501,0.655,166.479,66.911,0.138,-1.432,C-
20502,3.576715132,859.3980198,54.6,0.04,-17.41,C
20503,3.567102263,890.3511781,59.88,0.1,-7.32,C-
20504,0.88,136.91,62.64,0.01,-2.18,C-
20505,3.626265939,668.9906353,21.73,0.14,-2.39,C+
20506,5.96,120.4,61.36,0.001,-3.09,C-
20507,0,608.319,54.86,0.01,-7.79,C
20508,3.606142895,889.042827,54.97,-0.01,-3.03,C
